date,location_id,temp_max,temp_min,rainfall_mm,humidity
2025-01-01,LOC002,27.9,15.7,32.8,87.0
2025-01-02,LOC002,33.2,23.9,3.2,64.4
2025-01-03,LOC002,35.0,18.5,39.6,92.9
2025-01-04,LOC002,25.2,15.3,5.5,62.2
2025-01-05,LOC002,32.5,21.3,1.1,75.2
2025-01-06,LOC002,32.4,19.9,44.8,65.3
2025-01-07,LOC002,36.6,22.7,38.9,82.0
2025-01-08,LOC002,25.8,15.9,12.0,61.5
2025-01-09,LOC002,28.6,21.0,37.0,73.7
2025-01-10,LOC002,27.8,20.9,2.0,77.9
2025-01-11,LOC002,36.9,16.1,6.8,82.8
2025-01-12,LOC002,39.3,24.2,7.1,68.6
2025-01-13,LOC002,27.7,15.8,17.9,87.0
2025-01-14,LOC002,39.4,15.4,4.4,74.3
2025-01-15,LOC002,29.9,18.0,37.2,71.8
2025-01-16,LOC002,34.1,22.5,25.0,83.1
2025-01-17,LOC002,29.2,16.5,36.3,89.1
2025-01-18,LOC002,27.0,19.9,27.8,82.7
2025-01-19,LOC002,28.5,22.3,29.4,62.3
2025-01-20,LOC002,29.6,24.1,19.1,93.9
2025-01-21,LOC002,33.6,20.7,22.7,61.5
2025-01-22,LOC002,39.0,24.6,44.6,67.9
2025-01-23,LOC002,33.4,24.6,45.0,92.5
2025-01-24,LOC002,29.9,21.0,12.8,83.5
2025-01-25,LOC002,28.4,16.3,25.6,88.6
2025-01-26,LOC002,26.7,24.2,26.5,91.5
2025-01-27,LOC002,38.8,22.5,6.8,60.5
2025-01-28,LOC002,38.8,16.5,26.2,60.2
2025-01-29,LOC002,34.6,25.0,29.5,67.3
2025-01-30,LOC002,37.0,15.3,38.1,67.7
2025-01-31,LOC002,34.0,15.6,16.2,72.5
