date,location_id,commodity,mandi_price
2025-01-01,LOC001,Wheat,4346.1
2025-01-02,LOC001,Wheat,1084.31
2025-01-03,LOC001,Wheat,1498.75
2025-01-04,LOC001,Wheat,1008.86
2025-01-05,LOC001,Wheat,3180.72
2025-01-06,LOC001,Wheat,4235.53
2025-01-07,LOC001,Wheat,3920.1
2025-01-08,LOC001,Wheat,2424.09
2025-01-09,LOC001,Wheat,1154.1
2025-01-10,LOC001,Wheat,1886.5
2025-01-11,LOC001,Wheat,2665.92
2025-01-12,LOC001,Wheat,4189.13
2025-01-13,LOC001,Wheat,1046.49
2025-01-14,LOC001,Wheat,2225.71
2025-01-15,LOC001,Wheat,3442.86
2025-01-16,LOC001,Wheat,2551.15
2025-01-17,LOC001,Wheat,1606.54
2025-01-18,LOC001,Wheat,3709.56
2025-01-19,LOC001,Wheat,2228.87
2025-01-20,LOC001,Wheat,3067.7
2025-01-21,LOC001,Wheat,3548.48
2025-01-22,LOC001,Wheat,1212.84
2025-01-23,LOC001,Wheat,2329.86
2025-01-24,LOC001,Wheat,1185.75
2025-01-25,LOC001,Wheat,3201.86
2025-01-26,LOC001,Wheat,2830.39
2025-01-27,LOC001,Wheat,2799.67
2025-01-28,LOC001,Wheat,1197.52
2025-01-29,LOC001,Wheat,1866.11
2025-01-30,LOC001,Wheat,3202.68
2025-01-31,LOC001,Wheat,1469.1
