Date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,precipitation_hours,wind_speed_10m_max,lat,lon
2025-11-14,0.0,30.6,12.9,20.8,0.0,0.0,14.6,21.3756,74.2428
2025-11-15,0.0,30.2,13.8,20.8,0.0,0.0,15.9,21.3756,74.2428
2025-11-16,0.0,29.6,13.1,20.9,0.0,0.0,16.9,21.3756,74.2428
2025-11-17,0.0,29.1,11.4,19.3,0.0,0.0,16.9,21.3756,74.2428
2025-11-18,0.0,29.1,10.3,18.8,0.0,0.0,15.5,21.3756,74.2428
2025-11-19,1.0,29.6,11.8,19.3,0.0,0.0,13.5,21.3756,74.2428
2025-11-20,1.0,29.7,10.3,19.0,0.0,0.0,14.2,21.3756,74.2428
2025-11-21,45.0,30.5,12.7,20.3,0.0,0.0,15.5,21.3756,74.2428
2025-11-22,3.0,31.4,14.7,21.7,0.0,0.0,14.4,21.3756,74.2428
2025-11-23,3.0,32.3,16.0,23.1,0.0,0.0,12.8,21.3756,74.2428
2025-11-24,2.0,32.4,17.4,24.3,0.0,0.0,11.2,21.3756,74.2428
2025-11-25,2.0,32.9,20.3,25.5,0.0,0.0,10.3,21.3756,74.2428
2025-11-26,2.0,32.7,19.3,25.2,0.0,0.0,10.6,21.3756,74.2428
2025-11-27,80.0,31.8,19.8,24.5,0.4,9.0,14.2,21.3756,74.2428
2025-11-28,2.0,32.4,19.6,24.9,0.2,3.0,13.4,21.3756,74.2428
2025-11-29,1.0,30.8,19.4,24.8,0.0,0.0,12.6,21.3756,74.2428
2025-11-30,0.0,30.5,19.3,24.9,0.0,0.0,12.4,21.3756,74.2428
2025-12-01,2.0,30.4,20.5,24.7,0.0,0.0,13.6,21.3756,74.2428
2025-12-02,3.0,30.6,19.3,24.4,0.0,0.0,13.9,21.3756,74.2428
2025-12-03,3.0,30.7,19.1,24.1,0.0,0.0,10.2,21.3756,74.2428
2025-12-04,0.0,30.5,19.7,24.8,0.0,0.0,9.8,21.3756,74.2428
2025-12-05,0.0,30.9,21.3,25.6,0.0,0.0,13.7,21.3756,74.2428
2025-12-06,3.0,31.4,21.4,25.9,0.0,0.0,13.6,21.3756,74.2428
2025-11-14,1.0,29.0,25.2,27.0,0.0,0.0,12.2,19.076,72.8777
2025-11-14,0.0,26.9,13.8,20.2,0.0,0.0,12.0,19.9975,73.7898
2025-11-14,0.0,29.7,13.9,20.8,0.0,0.0,8.3,21.2576,77.5087
