Market Name,Price Date,Min_Price,Max_Price,Modal_Price,temperature_2m_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,precipitation_sum,precipitation_hours,weather_code,Modal_Price_Lag1,Modal_Price_Lag2,Modal_Price_Lag3,Modal_Price_Lag4,temperature_2m_mean_Lag1,temperature_2m_mean_Lag2,temperature_2m_mean_Lag3,temperature_2m_mean_Lag4,temperature_2m_max_Lag1,temperature_2m_max_Lag2,temperature_2m_max_Lag3,temperature_2m_max_Lag4,temperature_2m_min_Lag1,temperature_2m_min_Lag2,temperature_2m_min_Lag3,temperature_2m_min_Lag4,wind_speed_10m_max_Lag1,wind_speed_10m_max_Lag2,wind_speed_10m_max_Lag3,wind_speed_10m_max_Lag4,precipitation_sum_Lag1,precipitation_sum_Lag2,precipitation_sum_Lag3,precipitation_sum_Lag4,precipitation_hours_Lag1,precipitation_hours_Lag2,precipitation_hours_Lag3,precipitation_hours_Lag4,weather_code_Lag1,weather_code_Lag2,weather_code_Lag3,weather_code_Lag4
ahmednagar,09-07-2023,200,1900,1050,26.98983,30.0565,24.5065,17.339897,47.100006,20,65,987.5,766.6666667,775,750,27.7606685,31.96413967,35.30372167,35.750256,33.1065,40.6565,41.3065,40.7065,24.706501,24.956501,30.0065,30.3065,22.532755,18.82896367,23.58306567,28.664682,38.1,12.3,0,0.5,27,15,0,1,51,3,3,53
akola,09-07-2023,850,1750,1433.333333,28.45337517,34.2065,24.1565,14.30254733,105.5000058,71,51,1200,1040,933.3333333,820,27.271084,31.5939994,35.2571935,35.6023332,33.1065,40.6565,41.4565,44.2065,24.706501,24.956501,30.0065,28.1065,22.560837,18.0579332,22.6561845,21.726803,98.599999,23.600001,1.8,0.5,73,30,5,1,51,3,3,3
akole,09-07-2023,151,1900.5,1651,27.890873,34.2065,24.1565,17.035884,53.4,36,63,1567.666667,1104.333333,1026,1017.666667,27.74747067,31.767611,35.738792,35.78219733,33.0565,40.6565,40.7565,42.1065,24.9065,24.9065,31.0565,28.706501,19.53828667,18.656393,20.829669,20.95190733,7.9999989,11.5,0,0.8,28,24,0,2,51,61,3,3
amrawati(frui & veg. market),09-07-2023,960,2640,1800,28.3852494,34.2065,24.1565,14.6678646,104.3000058,64,65,1725,1691.666667,1508.333333,1090,27.541222,31.20163717,35.2679575,35.4985852,33.1065,40.6565,41.4565,42.1065,24.706501,24.9065,30.0065,28.1065,21.96708317,17.28983567,22.37733833,20.3129684,98.899999,30.500001,1.8,0.8,76,48,5,2,51,3,3,3
baramati,09-07-2023,300,1666.666667,1133.333333,28.71483367,34.0565,24.5065,13.089185,50.9000058,28,51,966.6666667,933.3333333,1000,900,27.79886233,32.43566367,35.57316667,35.19088,33.1065,40.6065,41.4565,41.3565,24.706501,24.956501,30.0565,28.1065,21.24566133,19.46148733,24.54236133,23.9602375,39.7999999,10.5,0,0.5,35,15,0,1,51,3,3,3
bhusaval,09-07-2023,783.3333333,1100,916.6666667,27.74122133,34.2065,24.1565,15.08254567,131.0000068,84,63,833.3333333,791.6666667,800,600,27.84955517,30.54781867,35.4089992,35.65754267,33.1065,40.6565,41.4565,44.2065,24.7565,24.9065,30.0065,28.1065,21.2871095,18.11897,21.704065,20.87153233,62.9999989,33.300001,1.8,0.8,61,54,5,2,51,61,3,3
chandrapur(ganjwad),09-07-2023,1266.666667,2483.333333,1750,27.74122133,34.2065,24.1565,15.08254567,131.0000068,84,63,1775,1960,1766.666667,1500,26.89764675,32.5627486,35.2571935,35.6023332,33.1065,40.6565,41.4565,44.2065,24.706501,25.0065,30.0065,28.1065,22.70220125,20.4801084,22.6561845,21.726803,98.099999,15.100001,1.8,0.5,68,27,5,1,63,3,3,3
chandvad,09-07-2023,396.8333333,1666.666667,1245,28.45337517,34.2065,24.1565,14.30254733,105.5000058,71,51,1175,855,702,740,27.37177833,31.86587383,35.1173322,35.6023332,33.1065,40.6565,41.4565,44.2065,24.706501,24.956501,30.0065,28.1065,21.91260983,19.27944767,22.785989,21.726803,100.2999989,24.600001,1.8,0.5,81,36,5,1,51,3,3,3
devala,09-07-2023,162.5,1701.25,1362.5,29.31171025,34.2065,25.206501,11.95030775,24.3999998,30,51,1206.25,865,810,787.5,26.7148335,32.5627486,35.1173322,35.5653525,32.2565,40.6565,41.4565,44.2065,24.706501,25.0065,30.0065,28.1065,22.62249775,20.4801084,22.785989,19.99233325,98.099999,15.100001,1.8,0,69,27,5,0,63,3,3,3
dhule,09-07-2023,180,1456,844,28.3614998,34.2065,24.1565,15.1978392,102.000006,64,51,1960,640,650,695,27.271084,31.5939994,35.2571935,35.8450405,33.1065,40.6565,41.4565,44.2065,24.706501,24.956501,30.0065,28.706501,22.560837,18.0579332,22.6561845,22.3445555,98.599999,23.600001,1.8,0.5,73,30,5,1,51,3,3,3
